SYMBOL	1_08_AD-F	10_11_AD-F	11_12_Normal-M	26_05_Normal-M	39_08_AD-M	39_10_AD-M	4_05_Normal-M
WT1	5.4316275	4.875380817	4.934964428	5.28237261	5.28398112	5.105664799	4.836843432
NUS1P3	5.025831163	5.052990597	4.960706899	4.481689847	4.677905899	4.599670674	5.593360302
COL4A4	5.071767817	4.934964428	5.362639422	5.652886249	5.019689238	4.975899188	4.828491063
SEPT7P9	4.767777555	5.115869006	4.767777555	4.767777555	5.085981648	5.085981648	5.119434267
MAP1LC3B2	5.036943902	5.099943916	5.228520268	5.185371671	5.050770369	4.956400073	4.735187292
LOC100128288	4.963146487	4.965176131	5.218046826	4.993379855	5.331810416	5.340704059	5.008749537
ZNF252P-AS1	5.148566874	4.907806443	5.065441886	5.068688007	5.311038772	5.220926702	4.939827283
HOMEZ	5.024199791	5.166235489	5.212203843	4.7392756	5.046961341	4.870854824	4.990037171
LOC100507384	5.294994942	4.969095917	5.363688468	5.167062119	5.098803285	4.940638886	4.984024208
HTR1B	5.138443021	5.077514522	5.174272183	5.340289023	4.926394534	5.149992184	4.906478042
ISM1	4.916665881	5.015213999	4.436416539	5.006812371	5.968023622	4.935374691	5.061430854
LOC101927044	5.262295886	4.961124374	5.171123628	5.201149819	5.099943916	5.026276939	4.994574657
LOC280665	5.197772799	4.922740048	5.094609759	5.130748209	5.001236383	5.031732292	4.850713447
ZNF283	5.061978242	5.002842745	5.124508979	5.017704637	5.097618116	4.928950935	5.017704637
SMCR5	5.146782861	5.146782861	5.212243042	5.183061728	5.174272183	5.094823751	4.763605368
BUB1B	4.969095917	4.976198864	5.054713425	4.969095917	5.120781738	4.772145085	4.762508704
LOC101929034	5.138495626	4.987131842	5.22545247	4.843039754	4.925282598	5.151622991	5.029914614
FANCD2	4.913218688	5.042402203	5.047023373	4.852151957	4.922823618	5.044987167	5.052620813
TMEM150B	4.947712895	5.144775625	5.174272183	4.909431712	4.980791813	4.870221692	4.969939992
SPATA31E1	5.255199629	4.943749287	5.037572948	5.248256883	4.860376281	5.006729206	4.98514716
SLC30A8	5.013699145	4.88093711	5.258109878	5.072225416	4.997263503	5.20067484	5.054412219
LINC00593	5.136215982	5.074726755	5.313459308	5.102526596	4.889323056	5.041875418	4.975923098
ALOX15	5.099943916	4.969095917	5.32371874	5.289386034	4.969095917	4.958574543	4.969095917
LINC01521	5.275459883	4.608006112	5.113069491	4.893763097	5.031102276	5.031102276	4.981956237
LYPD4	5.580337096	4.998675802	5.206224318	5.028491208	4.961559504	4.993648694	4.884337272
FCER1A	5.24491485	5.183151365	5.314839263	5.172959843	4.849846427	4.88718341	4.936424248
ZNF259P1	5.46767899	4.860553124	5.299966279	5.052204592	5.087734519	5.027245772	4.711010013
CCL11	5.243132696	5.057912846	5.223060065	5.18071886	5.007263641	4.960153242	4.722758673
ANKRD33	5.372402504	4.975899188	5.150677037	5.249662012	4.752116984	4.975899188	4.845952722
CD5L	5.364152264	5.137638322	5.035850849	5.230850462	4.788715856	5.060868778	4.910297579
MUCL1	5.008460692	4.843039754	5.35125462	5.138360572	5.008460692	4.943883789	5.053364565
LOC100506895	5.063304674	4.972561176	5.013699145	4.990464382	5.058419041	5.074503049	5.064415272
SLC9A3R2	5.352245262	5.294496752	5.013699145	5.061322463	5.218236034	5.083003303	4.686102218
REN	5.059545744	4.937497235	5.139392672	5.054503326	4.992598164	4.882093602	4.992598164
KRT23	5.541454292	5.037137404	5.037137404	5.348522498	4.813676015	5.127667742	4.931191228
